Receiving NPO Name*,UEN
Samaritans of Singapore,S69SS0047D
SPD (formerly Society for the Physically Disabled),S64SS0052D
Habitat for Humanity Singapore Ltd,200201617W
Children's Cancer Foundation,201934434R
Zonta Singapore - Project Pari Fund,T10CC0004L
VIVA Foundation for Children with Cancer,200601578E
Oasis Second Chance Animal Shelter Ltd,201406657D
Community Chest,T03CC1692B
St. Andrew's Mission Hospital,T08CC3017C
Free Food For All Limited,201503391Z
HCA HOSPICE CARE,S89SS0106G
Marymount Centre,201402049Z
Diabetes Singapore,S71SS0043E
Promisedland Community Services,T02SS0212H
Boys' Town,201534576H
Children's Charities Association,S66SS0023F
TTSH Community Fund,201400920N
Community Cancer Fund,T00CC1481D
NCC Research Fund,T05CC1897G
Sathya Sai Social Service (Singapore),S96SS0160E
Kwong Wai Shiu Hospital,201615448C
Make-A-Wish Foundation (S) Ltd,200201965D
Cat Welfare Society,S99SS0144E
Centre for Fathering Ltd,200101825N
Society for the Prevention of Cruelty to Animals,S61SS0060B
Persatuan Pemudi Islam Singapura (PPIS),S64SS0011K
SingHealth Foundation,T02CC1576B
Yayasan MENDAKI,198902633C
Christian Outreach to the Handicapped,S87SS0014H
AMKFSC Community Services,201229817Z
Muscular Dystrophy Association (Singapore),T00SS0094D
Canossaville Children and Community Services,S87CC0462K
Yellow Ribbon Fund,T04CC1808H
Singapore Chinese Dance Theatre,201419196W
Down Syndrome Association,S96SS0170K
SOCIETY FOR WINGS,T07SS0263K
NUHS Fund Limited,201203593Z
YMCA of Singapore,S61SS0045E
T.H.E Dance Company Ltd.,200818017E
Riding For The Disabled Association of Singapore,S82SS0081H
Singapore Association for Mental Health,S68SS0038A
Parkinson Society Singapore,S96SS0203J
Morning Star Community Services Ltd.,201617675H
Daughters Of Tomorrow Limited,201425430M
Project Orbis International Inc (Singapore) Ltd,201332607E
SHINE Children and Youth Services,S76SS0021F
Fencing Singapore,S65SS0025D
Assisi Hospice,201208993Z
Autism Association (Singapore),S92SS0124D
Metropolitan YMCA Singapore,S63SS0006B
Waterways Watch Society,S99SS0038D
NNI Health Endowment Fund,T00CC1410F
The National Kidney Foundation,200104750M
The Food Bank Singapore Ltd,201200654E
World Vision Singapore,S81FC3015E
Apex Day Rehabilitation Centre For Elderly,S89SS0091D
Bartley Community Care Services,T01SS0004H
Epworth Community Services,T08SS0123D
Singapore Anglican Community Services,S75SS0005H
Singapore Cancer Society,S65SS0033F
HANDICAPS WELFARE ASSOCIATION,S69SS0057J
St. John's Home For Elderly Persons,S61SS0176G
WE CARE Community Services Limited,200506089N
Caritas Singapore Community Council - The Caritas Singapore Agape Fund,T06CC2001K
Care Corner Singapore Ltd,198105641M
Operation Hope Foundation,200104386W
Singapore Association of the Visually Handicapped,S61SS0119J
The Community Foundation of Singapore,200817758M
Care for the Elderly Foundation (Singapore),S95SS0134B
Montfort Care,200814118E
Sree Narayana Mission (Singapore),S48SS0016D
Caregiving Welfare Association,T04SS0073G
Care Community Services Society,S96SS0195L
Kidney Dialysis Foundation,199600830Z
Disabled People's Association,S86SS0002F
Club Rainbow (Singapore),S92SS0137H
Conservation International Asia-Pacific Ltd,200910510N
The Salvation Army,T07CC3012G
HCSA Community Services,S97SS0023J
Metta Welfare Association,S94SS0081K
NNI Health Research Endowment Fund,T06CC1963D
The Helping Hand,S88SS0058F
Garden City Fund,T02CC1634C
The Mission to Seafarers Singapore,S83SS0014K
Bright Vision Hospital,200105451R
New Opera Singapore Ltd.,201114924K
Focus on the Family Singapore Limited,200108115N
United Women Singapore,S97SS0098B
Singapore Dragon Boat Association,S87SS0101F
Willing Hearts,T05SS0071J
Animal Lovers League,T02SS0040E
Chen Su Lan Methodist Children's Home,S68SS0016K
Noah's Ark Companion Animal Rescue & Education Society,T05SS0171L
The Singapore Eye Foundation,S83SS0015F
Mercy Relief,200306035Z
Hagar Singapore Ltd,200401226H
Arc Children's Centre Co Ltd,201021661K
FAMILY LIFE FIRST,S97SS0016C
AWWA Ltd,201500785Z
365 Cancer Prevention Society,T03SS0046H
Children's Aid Society,S62SS0031K
Muhammadiyah Welfare Home,S89CC0701L
Special Olympics Singapore,S91SS0003B
Singapore Disability Sports Council,S73SS0035B
BEYOND SOCIAL SERVICES,S87SS0025J
Circle of Friends Limited,201433751W
Nanyang Technological University,200604393R
O'JOY CARE SERVICES,T04SS0047J
SingHealth Fund,201624016E
Fei Yue Family Service Centre,S94SS0031G
ONE (SINGAPORE),T05SS0263L
Beautiful People SG Ltd,201525056H
Lakeside Family Services,S97SS0022B
Singapore Red Cross Society,S86CC0370E
World Toilet Organization Ltd,200205358C
The New Charis Mission,T06SS0166B
Malay Youth Literary Association,S48SS0014A
The Straits Times School Pocket Money Fund,T11CC0007D
The Bone Marrow Donor Programme,S93SS0141J
Fei Yue Community Services,S96SS0134G
Breast Cancer Foundation,S97SS0137L
Society for the Aged Sick,S68SS0022J
New Life Stories,201411304Z
Singapore Repertory Theatre,199301614N
Singapore Children's Society,S62SS0057G
Jump Rope Federation Singapore,T13SS0090E
SINGAPORE NATIONAL STROKE ASSOCIATION,S96SS0196G
Dover Park Hospice,S92SS0138D
Bizlink Centre (S) Ltd,199500566R
Alzheimer's Disease Association,S91SS0018J
Mediacorp Enable Fund,200822425N
All Saints Home,S87SS0068F
ArtsWok Collaborative Limited,201432448C
St Luke's Hospital,199205095C
Caregivers Alliance Limited,201131617N
Action for Singapore Dogs Society,T02SS0132E
Singapore Anti-Narcotics Association,S72SS0018H
ACRES,T01SS0121K
Migrant Workers' Assistance Fund,T12CC0003C
CLARITY SINGAPORE LIMITED,201021634E
Singapore Swimming Association,S61SS0088B
The Singapore Association for the Deaf,S62SS0061C
Special Olympics Asia Pacific Ltd,200906631E
Brahm Centre Ltd,200200167M
Blossom World Society,T08SS0161K
Just Parenting Association,T04SS0013K
Pangdemonium Theatre Company Ltd.,201229915M
Babes Pregnancy Crisis Support Ltd,201314611H
Shan You,S95SS0103B
Lions Befrienders Service Association,S95SS0076A
INTERCULTURAL THEATRE INSTITUTE LTD,200818680E
Halogen Foundation (Singapore),200308081M
REACH Community Services Society,S98SS0144L
Children's Wishing Well,200201465K
ARTDIS (Singapore) Ltd.,199500567G
IC2 PrepHouse Limited,201136583G
SUN-DAC,S93SS0060K
National Heritage Board - National Heritage Fund,T03CC1717K
Ren Ci Hospital,201018593M
RSVP Singapore The Organisation of Senior Volunteers,S99SS0039L
Guide Dogs Singapore Ltd.,200302260G
Centre 42 Limited,201403108H
Singapore Cycling Federation,S58SS0009A
Transient Workers Count Too,T04SS0088C
THE FUTURE IN YOU FOUNDATION,NO69253
Victoria School,T07GS3014H
ASSOCIATION FOR PERSONS WITH SPECIAL NEEDS,S75SS0058K
Sing'theatre Ltd,200615018Z
WILD RICE Ltd,200100891D
The Theatre Practice,198801755D
HEALTHSERVE LTD,200615440H
Darul Ihsan Orphanage,T07CC3022A
Save Our Street Dogs,T12SS0058C
Mandai Nature Fund Ltd,200823204E
SMA CHARITY FUND,201305017E
PSALT Care Ltd,201401059R
Deaf Sports Association (Singapore),T12SS0228C
CampusImpact,T06SS0077A
Compassion Fund,200904371Z
FOUNDATION OF ROTARY CLUBS (S) LTD,199300813R
THE SUBSTATION LTD,199506857R
DYSLEXIA ASSOCIATION OF SINGAPORE,S91SS0096B
Vision 2030 Fund,T14CC0007H
Victoria Junior College,T07GS0706C
Singapore Hospice Council,S95SS0013E
HUMANITARIAN ORGANISATION FOR MIGRATION ECONOMICS,T04SS0193H
Family Life Society,S85SS0018D
Perdaus,S64SS0031J
Leukemia & Lymphoma Foundation,T02SS0150A
Playeum Ltd,201333807K
Engineering Good Ltd,201408320W
Food From The Heart,200721064R
Social Health Growth Ltd,201203801G
FootballPlus Ltd,201329363K
Quantedge Foundation (Singapore) Ltd,201532866G
EMCC (Eagles Mediation & Counselling Centre),S97SS0164E
National Volunteer & Philanthropy Centre,200817256W
Home Nursing Foundation,S76SS0044D
Centre for a Responsible Future,S99SS0065J
Jazz Association (Singapore),201626167G
Autism Resource Centre (S),S99SS0148L
Cancer Wellness Limited,201306807E
Care Corner Seniors Services Ltd,201533890R
IC@RE HUB LTD.,201307803W
Esplanade - Theatres on the Bay,199205206G
Methodist Welfare Services,S81SS0088H
Singapore Chinese Orchestra,199603271D
Lawn Bowls Association for the Disabled (Singapore),T04SS0110B
Rainbow Centre,S92SS0061A
St Luke's ElderCare Ltd,199904873Z
Cheng Hong Welfare Service Society,T04SS0148G
Rare Disorders Society (Singapore),T11SS0113L
Thye Hua Kwan Moral Charities Limited,201130733N
Singapore Indian Education Trust,S67SS0016E
AWARE,S85SS0089B
The Necessary Stage Ltd,199202435N
Empower Ageing Limited,201619560Z
Child At Street 11 Ltd,199501798C
Sing Lit Station Limited,201615577D
Education Fund,T06CC3002H
FaithActs,T04SS0050J
PAVE,T02SS0100J
SingYouth Hub,T11SS0032A
Serangoon Moral Family Service Centre,S99SS0090L
Singapore After-Care Association,S61SS0083L
SINGAPORE HEART FOUNDATION,S70SS0007H
Calvary Community Care,T10SS0047C
Stroke Support Station,201503222G
Trybe Limited,199507763G
TOUCH COMMUNITY SERVICES,200104673R
Singapore Buddhist Free Clinic,S69SS0009J
Blossom Seeds Limited,201304904N
Movement for the Intellectually Disabled of Singapore (MINDS),S62SS0075C
Silver Ribbon (Singapore),T05SS0315B
Christian Care Services (Singapore),S99SS0072D
The A Cappella Society Ltd,200721181D
Singapore Lyric Opera Ltd,199002445Z
Action for Aids Singapore,S88SS0126A
The Community Justice Centre,201231446R
O School Ltd,200905934E
Lutheran Community Care Services Limited,200207586Z
Science Centre Sponsorship Fund,T08CC3014D
BOP HUB LTD,201334143m
SNEC HEALTH ENDOWMENT FUND,T02CC1573C
Aidha Ltd,201006653E
Singapore Sailing Federation,S66SS0013A
Nature Society (Singapore),S61SS0142H
"National Book Development Council of Singapore, The",S68SS0042H
St Gabriel's Foundation,200105928G
Singapore University of Technology and Design,200913519C
SUNLOVE ABODE FOR I/I LTD,199202859C
Singapore Council of Women's Organisations - Service Fund,T09CC0010H
Teater Ekamatra Ltd.,201130737W
Voices For Animals,T14SS0132G
The RICE Company Limited,201408699H
Singapore Environment Council,199507762R
Abilities Beyond Limitations and Expectations Ltd,201022774G
MILK Fund,T04SS0150L
MUHAMMADIYAH HEALTH AND DAY CARE CENTRE,T13CC0002A
TAA Trust Fund,T06CC1974E
GEM New Start Centre Limited,201314600E
Girl Guides Singapore,S67SS0005D
Hope Centre (Singapore),S97SS0032G
LASALLE College of the Arts Limited,199202950W
Nam Hwa Opera Limited,201504648M
Singapore Chung Hwa Medical Institution,201109599Z
Presbyterian Community Services,S75SS0022H
Woodbridge Hospital Charity Fund,201940371M
Friends of the Disabled Society,T00SS0207F
Young Women's Christian Association of Singapore,S61SS0075J
Young Sustainable Impact Southeast Asia (YSI SEA),201803842K
New Hope Community Services,T04SS0026C
En Community Services Society,T03SS0051L
PERTAPIS,S71SS0014H
WWF - World Wide Fund For Nature (Singapore) Limited,200602275E
Filos Community Services,200408452G
Frontier Danceland Ltd,201127710M
Cycling Without Age Singapore,201714757N
Cerebral Palsy Alliance Singapore,S60SS0003K
The Red Pencil (Singapore),201113675E
Nanyang Academy of Fine Arts,201006523M
APEX HARMONY LODGE,S95SS0086F
Catholic Welfare Services Singapore,S61SS0167J
Singapore Ice Hockey Association,T02SS0138C
Bright Horizons Fund by NTUC First Campus Co-operative Limited,200818009N
Singapore Planned Families Association,S63SS0018K
JANAJAGRUTHI SEVA SOCIETY,9553761567
National Arthritis Foundation,S84SS0010J
Pure Heart Charity Homes,342354234W
Children-At-Risk Empowerment Association (CARE Singapore),T00SS0043E
Loving Heart Multi-Service Centre (Jurong),T04SS0129D
CR59_App2_Npo,20229999XX
Changi Health Fund,201133557D
Bethesda Care Services,S96SS0146D
Equal-Ark Singapore Ltd,201536378N
Thye Hua Kwan Moral Society,S78SS0031K
Life Community Services Society,S96SS0100H
Methodist Schools' Foundation,199703727C
Singapore Buddhist Lodge Welfare Foundation,S96SS0012C
EMPOWER2FREE LLP,T17LL2284L
The Tent,T01SS0154B
"The Eurasian Association, Singapore",S64SS0001E
Singapore Book Council Limited,201805935W
SAtheCollective Ltd,201629632R
Singapore Art Museum,201330746G
Limitless,201713769M
Singapore Symphonia Company Limited,197801125M
Kampung Senang Charity & Education Foundation,S99SS0044C
Teen Challenge,S87SS0001D
Causes For Animals (Singapore) Limited,201314186Z
Hope Initiative Alliance,T04SS0054D
"The Artground, Managed by The Ground Co Limited",201632916C
Caregivers' Association of the Mentally-ILL,T05SS0189F
National Gallery Singapore,200900977G
Dance Ensemble Singapore Ltd,199304358N
Singapore Buddhist Welfare Services,S81SS0060H
Extraordinary People Limited,201719854W
LEMBAGA BIASISWA KENANGAN MAULUD,S66SS0027A
Club HEAL,T12SS0028K
MUSLIM MISSIONARY SOCIETY SINGAPORE,S61SS0055K
Sunshine Welfare Action Mission,S88SS0104K
Image Mission Ltd.,201506898W
Seventy Times Seven (formerly known as Life Anew!),T09CC0007H
Muslim Kidney Action Association,T04SS0068D
EtonHouse Community Fund Limited,201312095N
Centre For Seniors,T06SS0199E
AMP Singapore,199105100D
Bishan Home for the Intellectually Disabled,T07SS0102D
Xin Yuan Community Care,T05SS0150E
The Ireland Funds Singapore,200910045N
Bless Community Services,T08SS0032L
Singapore Islamic Scholars and Religious Teachers Association,S57SS0012G
REALM OF TRANQUILITY,S81SS0064C
Tsao Foundation,199302114W
Ascending Hope Community Services Ltd,201623215G
Farmer's Life Improvement and Future Light Youth Organization,177 SCN
safe agricultural producer society,sapssaps13
Ronald McDonald House Charities Singapore,S98SS0006C
Bedok Reservoir-Punggol CCC Community Development and Welfare Fund,S88CC0571D
SINGAPORE HERITAGE SOCIETY,S87SS0042J
Orchestra Of The Music Makers Ltd.,201002361G
HOPE worldwide (Singapore),S98SS0151F
tjia_cakep,8965522538
Adventist Nursing & Rehabilitation Centre,S97SS0048K
Shared Services For Charities Limited,200823086Z
Singapore Road Safety Council,T09SS0253D
Sian Chay Medical Institution,S62SS0055D
SAGE Counselling Centre,T08SS0025E
JurongHealth Fund,201118604G
ITE Education Fund,T08CC3006B
GLOBAL COMPACT NETWORK SINGAPORE,T05SS0028L
Majulah Community,201021626N
Singapore University of Social Sciences,200504979Z
Yong-en Care Centre,S96SS0165G
Singapore Thong Chai Medical Institution,196000175E
Nam Hong Welfare Service Society,T07SS0086D
Singapore International Film Festival Ltd,199404067R
Social Aid for Common Humanitrain (SACH),3949496-9
Salem Welfare Services Ltd,199508102H
My Community,T10SS0125C
aLife Ltd,200204369H
Pro Bono SG,201700430E
Haemophilia Society of Singapore,S85SS0047A
SATA COMMHEALTH,194700119G
ISEAS Research Funds,T08CC3005F
IIX Global Charitable Limited,201006538Z
Checkpoint Theatre Limited,200209251R
TheatreWorks (Singapore) Limited,199001149D
Domestic Employees Welfare Fund,T16CC0008C
Thong Teck Home for Senior Citizens,T00SS0072B
Thye Hua Kwan Nursing Home Limited,201323219Z
SCWO-Star Shelter,T00CC1406K
Asia Pacific Hospice Palliative Care Network (APHN),T01SS0003A
SAWL Scholarship Fund,S89CC0680J
SSVP Ltd,201906514D
SNEC HEALTH RESEARCH ENDOWMENT FUND,T02CC1574K
Infant Jesus Homes & Children's Centres,S92CC0888D
Resilience Collective Ltd,201822261W
National University of Singapore,200604346E
Singapore Squash Rackets Association,S70SS0024H
Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),S93SS0148C
Youth Guidance Outreach Services,S96SS0067H
New Life Community Services,T00SS0057E
NeuGen Fund,S00CC0006G
ZERO WASTE SG LIMITED,201528793W
Nine Years Theatre Ltd.,201221584C
Singapore Ballet Limited,198702432N
National Healthcare Group Fund,201623926M
Loving Heart Multi-Service Centre,T03SS0014A
Character and Leadership Academy Limited,201412408N
Rural Improvement Center,331
Odyssey Dance Theatre Ltd,200107383N
TOUCH International Limited,200614290G
Viriya Community Services,T01SS0059B
South Central Community Family Service Centre Limited,201301276N
Kowabunga! Global Pte. Ltd,201216039D
Casa Raudha Women Home,T08SS0051C
RAHMATAN LIL ALAMIN FOUNDATION,200910530Z
"*SCAPE CO., LTD. ",200712761D
Avant Theatre & Language,201105101N
TalentTrust Singapore,201430501R
SOWCARE LTD.,201918865M
NTUC - U Care Fund,T09CC0008D
Buds Theatre,T11SS0182F
Singapore Kindness Movement,S97SS0063G
The TENG Company Ltd,201502077Z
Chowk Productions Ltd,201411870W
Heartware Network,T00SS0109G
#CHECKED LIMITED,200920810R
Singapore Arts School Ltd.,200500775C
The Boys' Brigade in Singapore,S62SS0041D
BHASKAR'S ARTS ACADEMY LTD,199907527E
Catch Them Young Ltd,201540730N
Asian Film Archive,200500010H
Ang Mo Kio - Thye Hua Kwan Hospital,200201385C
Siong Leng Musical Association,S41SS0003J
HUG Community Services Limited,201430532E
Ding Yi Music Company Limited,201101809W
Project Smile Limited,201406530G
Equestrian Federation of Singapore,S76SS0030D
Tampines Arts Troupe,S91SS0060L
Alive Community Network,T02SS0190K
Public Free Clinic Society,S95SS0069F
Man Fut Tong Nursing Home,S80SS0179G
Drama Box,200517863N
Adventist Community Services,S60SS0011A
Bethel Community Services,T04SS0113A
Adventist Home For The Elders,S80SS0046B
Sri Krishna Mandir Welfare Society,T02SS0007A
Social Creatives,200813216C
"LOVE, NILS LTD.",201724930Z
Geylang East Home For The Aged,T01SS0110J
NGEE ANN POLYTECHNIC FUND,T08CC3009A
Young People's Performing Arts Ensemble Ltd,199900287D
Ling Kwang Home for Senior Citizens,T08SS0070F
PM.Haze,T16SS0125L
Art Photography Centre Ltd,201215478E
Society for Continence (Singapore),S91SS0100E
AMBULANCE WISH (SINGAPORE) LTD.,201916704W
Counselling and Care Centre,S75SS0014F
Sustain the Arts (stART) Fund,T08CC3019F
Mvs student,T027564d
Epilepsy Care Group (Singapore),S95SS0164F
Helping and Empowering our Neighbours (HEN),T18SS0191F
Sheng Hong Arts Institute,T09SS0065H
Mercylight Animal Rescue And Sanctuary Limited,201502278Z
The Girls' Brigade Singapore,S61SS0001A
Singapore Christian Home,S77SS0040C
Civilians Association (Singapore),S72SS0023L
Cornerstone Community Services,S96SS0151G
One Hope Centre,T04SS0143E
Brain Tumour Society (Singapore) Limited,201912577E
ArtsEquator Ltd.,201701329M
Concern & Care Society,T01SS0058F
Republic Polytechnic Education Fund,T03CC1740J
World-in-Theatre Ltd,200207216G
Singapore Management University,200000267Z
Breastfeeding Mothers' Support Group (S),S91SS0021J
ST. JOSEPH'S INSTITUTION PHILANTHROPIC FUND FOR THE LASALLIAN MISSION LTD.,201024306N
Cambodian Charity Organization,1917PRK
Singapore National Paralympic Council,200812207D
Toy Factory Productions Ltd.,200613422M
Honour (Singapore) Ltd,201405223G
Philippine Bayanihan Society Singapore,T01SS0179C
ISCA Cares Limited,201532966C
Conservation International Singapore Conservation Trust,T17CC0001C
North East Community Development Council,T07CC3010D
I Love Children,T05SS0233G
Singapore Tyler Print Institute,200008878C
SG Serve Ltd,201621736D
The Majurity Trust Limited,201734370C
Nanyang Primary School,T07GS5258J
Gardens by the Bay,201132829N
O'Joy Limited,201805560D
The Private Museum Ltd.,201005410R
Thong Chai Institute Of Medical Research,200311661W
APSARAS ARTS LTD,200510112D
Art Outreach Singapore Limited,200304127K
Singapore Drama Educators Association,T02SS0123G
HOPEHOUSE LTD,201010093H
SASCO Senior Citizens' Home,S89CC0702G
Singapore Gymnastics,T03SS0136E
Chinese Development Assistance Council,199202625K
The Hut Limited,202007365W
Singapore Golf Association,S61SS0189L
Sikh Welfare Council,S98SS0018L
AGAM Ltd.,201903610E
Blessed Grace Social Services Limited,201407233M
Tasek Jurong Limited,201437089G
Casa Raudha Ltd.,201713778N
New Redeemer's Fellowship Society,T07SS0228C
Chiam See Tong Sports Fund,T17SS0038G
EAGLES MEDIATION & COUNSELLING CENTRE LTD.,201904577Z
Ashoka : Innovators For The Public (Singapore) Limited,201020535E
Muslimin Trust Fund Association,190400006N
AkarakA Limited,201017533Z
Taman Jurong CCC Community Development and Welfare Fund,S87CC0501H
Toa Payoh East CCC Community Development and Welfare Fund,T03CC1736B
Brighton Connection,T05SS0234C
National Cancer Socity,200817256J
Singapore Wind Symphony (SWS),S92SS0102B
K9Assistance (Limited),202010657N
The Greenhouse Community Services Ltd,202008502N
Ride of Hope SG,53412969B
Wellness Week,T0308686G
Change Community Services Limited,201003883D
RIVERLIFE COMMUNITY SERVICES LIMITED,200711586W
TFA Lalita Kala Company,200410925C
Tai Pei Old People's Home,S80SS0149C
Wrestling Federation of Singapore,T08SS0214H
Alexandra Health Fund Limited,201427909W
Sports Boules Singapore,S90SS0085G
Bright Hill Evergreen Home,S82SS0008F
Singapore Women's Association,S54SS0010L
APSN Ltd.,202018265W
JURONG SPRING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T11CC0005A
Singapore Chinese Cultural Centre,201309577Z
Hai Sing Catholic School,T07GS7031E
Society Against Family Violence,S91SS0038H
Bilby Community Development Ltd.,201942228D
Singapore Council of Women's Organisations,S80SS0026C
Mamre Oaks Ltd,201526053M
Lions Home For The Elders,S80SS0029B
HEB-Ashram Halfway House,T09CC0009L
Singapore Indian Development Association,S90SS0098L
Ju Eng Home for Senior Citizens,S89SS0113B
Care for the Disabled Limited,202009350D
Conjunct Consulting,201319107K
Redhill Moral Senior Activity Centre,S96CC1169J
BGR International,200722544Z
Chamber Music and Arts Singapore Limited,202020064E
Friends of Autism Charitable Trust,T20CC0001D
Dementia Singapore Ltd,202111519K
Special Needs Trust Co Ltd,200812120W
CFL Lumens Trust,T20CC0003G
Woodlands Social Centre,S99SS0135G
Children's Museum Singapore,199502248C
"Singapore Life Saving Society, The",S67SS0031B
dgdgg,200817256A
SAF Care Fund,201323131D
Objectifs Centre Ltd.,201436096K
St. John Singapore,S70SS0009L
Careerconsortia Limited,202040991W
NuLife Care & Counselling Services Ltd,200416313W
BEAUTIFUL MIND CHARITY,T12SS0009G
Bethesda CARE Centre,S96SS0198K
Change Our World,T03SS0224K
KRETA AYER- KIM SENG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S89CC0678E
CARINGSG Limited,202034409E
ITSRAININGRAINCOATS LTD.,202040087Z
Gift Appeal Foundation,T21SS0200A
Venture Music Asia Ltd.,201733785K
Singapore Badminton Association,S61SS0032A
Dyslexia Association of Singapore Limited,202114767K
Glyph Community Limited,202118099N
RISE Community Limited,202102374C
Flamenco Sin Fronteras Ltd,201132553D
TRIGEN LTD.,201924656N
Queenstown Multi-Service Centre,T03SS0013E
The Singapore Scout Association,S85CC0196D
Wicare Support Group,S98SS0084G
Tang Renaissance ,201630110G
WWFS Conservation Fund,T06CC1999F
Ain Society,T00SS0163F
St. Patrick's School,T07GS7022G
HCA Hospice Limited,202114297R
Curious Thoughts Giving Limited,201718734C
The Finger Players Ltd,199905145W
The Observatory Music Ltd.,201102790R
CLEMENTI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S95CC1101F
My Community Limited,202000632R
BROTHA'S FOUNDATION,M3017325W
Trans Family Services,S88SS0005D
THE MALAY HERITAGE FOUNDATION LTD,199904358R
Singapore Rugby Union,S66SS0003G
Caring for Life Ltd.,201938707Z
ADULLAM LIFE COUNSELLING,T13SS0070F
Singapore Athletic Association,S63SS0015L
Bukit Batok East CCC Community Development And Welfare Fund,T02CC1597H
Krsna's Free Meals,T20SS0040A
Lions Community Service Foundation (Singapore),T03SS0068K
Bukit Timah CCC Community Development and Welfare Fund,S91CC0825C
Singapore Ice Skating Association,S98SS0168E
Singapore Institute of Technology,200917667D
YouthHarmony Ltd,202033369K
Inspiring Girls SG Ltd.,202213461H
ACMI Migrant Fund,T16CC0006L
International Community School (Singapore) Ltd,199303918N
People's Association Community Development Fund - POSB PAssion Run For Kids,T07CC3011L
"Federation of Youth Clubs, Singapore",S62SS0052E
SINGAPORE SILAT FEDERATION,S76SS0039A
